,title,dj_name,dj_id,spins,avg_danceability,avg_energy,avg_loudness,avg_acousticness,avg_instrumentalness,avg_valence,avg_tempo,avg_duration_ms,avg_time_signature,genre_1,genre_2,genre_3
0,A Visit to the Tower,Charlie Summers,169103,29,0.5773793103448276,0.7263793103448276,-8.173068965517242,0.12562283793103451,0.11582709758620693,0.5947586206896551,119.12637931034484,216391.6896551724,3.896551724137931,Arabic Folk Music,Alternative Rock,Noise Rock
1,Airport Jungle Juice,Jesse P,164885,248,0.6000967741935482,0.6689935483870966,-7.822923387096779,0.23065622419354828,0.08932908633064522,0.5935616935483872,126.6206935483871,225279.0685483871,3.943548387096774,Pop Rock,Indie Pop,Alternative Rock
2,Apple Box Radio Hour,Kaya Bogot,169288,34,0.5895588235294118,0.664,-7.848264705882353,0.22138288529411762,0.00048174676470588235,0.6092941176470588,118.40017647058824,218764.70588235295,3.9705882352941178,Pop Rock,Pop,Soul
3,Beats to Break Down/Astral Project To,Lincoln He,164891,140,0.4466607142857142,0.5212478785714284,-11.263628571428573,0.43118230714285716,0.3073370884285714,0.28843214285714297,122.68317142857146,238323.86428571428,3.8142857142857145,Art Pop,Ambient,Glitch Pop
4,Bed Bugs,Sophia Kotschoubey,164732,27,0.48103703703703704,0.5875185185185184,-9.014111111111111,0.28112352111111116,0.37651787814814813,0.4606962962962963,116.15614814814813,231163.88888888888,3.888888888888889,Dream Pop,Shoegaze,Indie Rock
5,Breaking Our Silence,Evan Cranmer,165173,89,0.5809775280898877,0.6151460674157306,-7.688786516853935,0.26947973932584274,0.08528374932584269,0.5109258426966292,120.17141573033707,225888.48314606742,3.966292134831461,Pop Rock,Singer-Songwriter,Indie Pop
6,Broomstraw Philosophers,Sajel Patwardhan,169290,33,0.5494545454545454,0.5239636363636364,-10.325242424242425,0.534259393939394,0.1382910778787879,0.6203030303030302,121.27603030303031,211829.39393939395,3.8181818181818183,Singer-Songwriter,Alt-Country,Americana
7,Brouhaha,Soraya Abediyeh,164783,132,0.4915196969696968,0.6002295454545453,-9.43669696969697,0.28948970075757563,0.3543829928787878,0.43519999999999975,123.19580303030308,203764.5,3.9015151515151514,Indie Rock,Indie Pop,Dream Pop
8,Burnout Radio,Chase van der Have,169558,28,0.6312857142857142,0.6747500000000001,-7.487,0.16533571428571428,0.01430968535714285,0.5308892857142855,103.37174999999998,211006.07142857142,4.0,Trap,Pop Rap,East Coast Hip Hop
9,CHILL OUT!,yuwe,169082,84,0.5766119047619046,0.44453571428571437,-12.718083333333333,0.49761738095238106,0.6390680395238095,0.46102380952380934,107.73705952380953,210112.2857142857,3.8095238095238093,Instrumental Hip Hop,Lo-Fi Hip Hop,Jazz Rap
